time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
44.19112,0,0,0,0,0,0
44.22465,0,0,0,0,0,0
44.23495,0,0,0,0,0,0
44.24375,0,0,0,0,0,0
44.25205,0,0,0,0,0,0
44.25636,0,0,0,0,0,0
44.26075,0,0,0,0,0,0
44.26499,0,0,0,0,0,0
44.26889,0,0,0,0,0,0
44.27301,0,0,0,0,0,0
44.27731,0,0,0,0,0,0
44.2813,0,0,0,0,0,0
44.28538,0,0,0,0,0,0
44.29026,0,0,0,0,0,0
44.29412,0,0,0,0,0,0
44.29827,0,0,0,0,0,0
44.30341,0,0,0,0,0,0
44.30843,0,0,0,0,0,0
44.31228,0,0,0,0,0,0
44.31643,0,0,0,0,0,0
44.32232,0,0,0,0,0,0
44.32643,0,0,0,0,0,0
44.33018,0,0,0,0,0,0
44.33429,0,0,0,0,0,0
44.33821,0,0,0,0,0,0
44.34229,0,0,0,0,0,0
44.34596,0,0,0,0,0,0
44.35006,0,0,0,0,0,0
44.35403,0,0,0,0,0,0
44.35794,0,0,0,0,0,0
44.36199,0,0,0,0,0,0
44.36738,0,0,0,0,0,0
44.3725,0,0,0,0,0,0
44.37687,0,0,0,0,0,0
44.38187,0,0,0,0,0,0
44.38664,0,0,0,0,0,0
44.39051,0,0,0,0,0,0
44.39446,0,0,0,0,0,0
44.399,0,0,0,0,0,0
44.40307,0,0,0,0,0,0
44.40691,0,0,0,0,0,0
44.41236,0,0,0,0,0,0
44.41735,0,0,0,0,0,0
44.42222,0,0,0,0,0,0
44.42589,0,0,0,0,0,0
44.43055,0,0,0,0,0,0
44.43517,0,0,0,0,0,0
44.43882,0,0,0,0,0,0
44.44264,0,0,0,0,0,0
44.44783,0,0,0,0,0,0
44.4521,0,0,0,0,0,0
44.45597,0,0,0,0,0,0
44.46048,0,0,0,0,0,0
44.46532,0,0,0,0,0,0
44.46946,0,0,0,0,0,0
44.47357,0,0,0,0,0,0
44.4784,0,0,0,0,0,0
44.48315,0,0,0,0,0,0
44.48787,0,0,0,0,0,0
44.49165,0,0,0,0,0,0
44.49828,0,0,0,0,0,0
44.50285,0,0,0,0,0,0
44.50705,0,0,0,0,0,0
44.51163,0,0,0,0,0,0
44.51653,0,0,0,0,0,0
44.52131,0,0,0,0,0,0
44.52656,0,0,0,0,0,0
44.53035,0,0,0,0,0,0
44.53481,0,0,0,0,0,0
44.53959,0,0,0,0,0,0
44.54463,0,0,0,0,0,0
44.54982,0,0,0,0,0,0
44.55365,0,0,0,0,0,0
44.5574,0,0,0,0,0,0
44.56163,0,0,0,0,0,0
44.56868,0,0,0,0,0,0
44.57404,0,0,0,0,0,0
44.58131,0,0,0,0,0,0
44.58655,0,0,0,0,0,0
44.59001,0,0,0,0,0,0
44.59437,0,0,0,0,0,0
44.59892,0,0,0,0,0,0
44.60238,0,0,0,0,0,0
44.60647,0,0,0,0,0,0
44.61,0,0,0,0,0,0
44.61395,0,0,0,0,0,0
44.6173,0,0,0,0,0,0
