timestamp,log_type,message,stacktrace
0,Error,Failed to get placement code,UnityEngine.Debug:LogError (object).  Antilatency.OculusSample.AltTrackingOculus:GetPlacement () (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:204).  Antilatency.OculusSample.AltTrackingOculus:Awake () (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:116).  
0,Log,[UIPanelDisplayerSimple][Canvas] -> IMG PHOLDERS:
[Body Body (UnityEngine.UI.Image)]
[Image Image (UnityEngine.UI.Image)]
,UnityEngine.Debug:Log (object).  coredamnwork.Utils:PrintCollection (System.Collections.IEnumerablestring) (at Assets/alreylz/Utils/Utils.cs:119).  UIPanelDisplayer`1<UIPanelInfo>:Awake () (at Assets/[alreyl] GameSystems/ReadOnlyDynamicUI/UIPanelDisplayer.cs:34).  
0,Log,[UIPanelDisplayerSimple][Canvas] -> TEXT PHOLDERS:
[Header Header (TMPro.TextMeshProUGUI)]
[Detail Detail (TMPro.TextMeshProUGUI)]
,UnityEngine.Debug:Log (object).  coredamnwork.Utils:PrintCollection (System.Collections.IEnumerablestring) (at Assets/alreylz/Utils/Utils.cs:119).  UIPanelDisplayer`1<UIPanelInfo>:Awake () (at Assets/[alreyl] GameSystems/ReadOnlyDynamicUI/UIPanelDisplayer.cs:35).  
0,Warning,[@alreylz] alreylz.SceneVisibilityWrapper instantiation attempt executed (Action:Destroy). alreylz.SceneVisibilityWrapper is a Singleton: Only one instance can be active at a time so this is enforced in the Awake method(). ,UnityEngine.Debug:LogWarning (object).  Singleton`1<alreylz.SceneVisibilityWrapper>:Awake () (at Assets/alreylz/Utils/Singleton.cs:16).  
0,Log,[OVRManager] OnApplicationPause(false),UnityEngine.Debug:Log (object).  OVRManager:OnApplicationPause (bool) (at Assets/Oculus/VR/Scripts/OVRManager.cs:2047).  
0,Error,Failed to get placement code,UnityEngine.Debug:LogError (object).  Antilatency.OculusSample.AltTrackingOculus:GetPlacement () (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:204).  Antilatency.OculusSample.AltTrackingOculus:StartTrackingAlignment () (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:96).  Antilatency.OculusSample.AltTrackingOculus:OnFocusChanged (bool) (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:77).  Antilatency.OculusSample.AltTrackingOculus:OnApplicationPause (bool) (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:88).  
0,Log,[OVRManager] OnApplicationFocus(true),UnityEngine.Debug:Log (object).  OVRManager:OnApplicationFocus (bool) (at Assets/Oculus/VR/Scripts/OVRManager.cs:2055).  
0,Error,Failed to get placement code,UnityEngine.Debug:LogError (object).  Antilatency.OculusSample.AltTrackingOculus:GetPlacement () (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:204).  Antilatency.OculusSample.AltTrackingOculus:StartTrackingAlignment () (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:96).  Antilatency.OculusSample.AltTrackingOculus:OnFocusChanged (bool) (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:77).  Antilatency.OculusSample.AltTrackingOculus:OnApplicationFocus (bool) (at Assets/Antilatency/OculusSample/Scripts/AltTrackingOculus.cs:84).  
0,Log,EJECUTANDO ASIGNACION RIGHT HAND,UnityEngine.Debug:Log (object).  AddBracerUntracked/<Start>d__3:MoveNext () (at Assets/AddBracerUntracked.cs:30).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
0,Log,LATIN SQUARE : 
-----------------------------
[PPID1]     SIZESIZE_AND_AUDIOSIZE_AND_VIBRATION_AND_AUDIOSIZE_AND_VIBRATION
[PPID2]     SIZE_AND_AUDIOSIZE_AND_VIBRATIONSIZESIZE_AND_VIBRATION_AND_AUDIO
[PPID3]     SIZE_AND_VIBRATIONSIZE_AND_VIBRATION_AND_AUDIOSIZE_AND_AUDIOSIZE
[PPID4]     SIZE_AND_VIBRATION_AND_AUDIOSIZESIZE_AND_VIBRATIONSIZE_AND_AUDIO,UnityEngine.Debug:Log (object).  LatinSquare:GetLatinSquareFromNamedConditions (string[]) (at Assets/[1]MainScenes/Experimento2/LatinSquare.cs:49).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:119).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0,Log,LATIN SQUARE : 
-----------------------------
[PPID1]     SIZESIZE_AND_AUDIOSIZE_AND_VIBRATION_AND_AUDIOSIZE_AND_VIBRATION
[PPID2]     SIZE_AND_AUDIOSIZE_AND_VIBRATIONSIZESIZE_AND_VIBRATION_AND_AUDIO
[PPID3]     SIZE_AND_VIBRATIONSIZE_AND_VIBRATION_AND_AUDIOSIZE_AND_AUDIOSIZE
[PPID4]     SIZE_AND_VIBRATION_AND_AUDIOSIZESIZE_AND_VIBRATIONSIZE_AND_AUDIO,UnityEngine.Debug:Log (object).  LatinSquare:GetLatinSquareFromNamedConditions (string[]) (at Assets/[1]MainScenes/Experimento2/LatinSquare.cs:49).  LatinSquare:GetLatinSquareFromNamedConditionsAsDict (string[]) (at Assets/[1]MainScenes/Experimento2/LatinSquare.cs:63).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:124).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0,Log,LATIN SQUARE : 
-----------------------------
[PPID1]     SIZESIZE_AND_AUDIOSIZE_AND_VIBRATION_AND_AUDIOSIZE_AND_VIBRATION
[PPID2]     SIZE_AND_AUDIOSIZE_AND_VIBRATIONSIZESIZE_AND_VIBRATION_AND_AUDIO
[PPID3]     SIZE_AND_VIBRATIONSIZE_AND_VIBRATION_AND_AUDIOSIZE_AND_AUDIOSIZE
[PPID4]     SIZE_AND_VIBRATION_AND_AUDIOSIZESIZE_AND_VIBRATIONSIZE_AND_AUDIO,UnityEngine.Debug:Log (object).  LatinSquare:GetLatinSquareFromNamedConditions (string[]) (at Assets/[1]MainScenes/Experimento2/LatinSquare.cs:49).  ExperimentSetup:GenerateBlockSetFromPPID (intint) (at Assets/ExperimentSetup.cs:83).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:128).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:346).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:160).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
