timestamp;log_type;message;stacktrace
0;Log;[OVRManager] OnApplicationPause(false);UnityEngine.Debug:Log (object).  OVRManager:OnApplicationPause (bool) (at Assets/Oculus/VR/Scripts/OVRManager.cs:2047).  
0;Log;[OVRManager] OnApplicationFocus(true);UnityEngine.Debug:Log (object).  OVRManager:OnApplicationFocus (bool) (at Assets/Oculus/VR/Scripts/OVRManager.cs:2055).  
0;Log;[<b><color=#2ba198>@alreylz</color></b>] [CloseExtBracerReaktor][SUBS]1 Reaction Behaviours components found subscribing...;UnityEngine.Debug:Log (object).  alreylz.Debug:Log (string) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/Utils/Debug.cs:21).  CloseExtBracerReaktor:HookAllLocalBracerReactionComponents () (at Assets/Scripts/Input/Reaktor/CloseExtBracerReaktor.cs:128).  CloseExtBracerReaktor:Start () (at Assets/Scripts/Input/Reaktor/CloseExtBracerReaktor.cs:112).  
0;Log;[<b><color=#2ba198>@alreylz</color></b>] [CloseExtBracerReaktor][SUBS]1 Reaction Behaviours components found subscribing...;UnityEngine.Debug:Log (object).  alreylz.Debug:Log (string) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/Utils/Debug.cs:21).  CloseExtBracerReaktor:HookAllLocalBracerReactionComponents () (at Assets/Scripts/Input/Reaktor/CloseExtBracerReaktor.cs:128).  CloseExtBracerReaktor:Start () (at Assets/Scripts/Input/Reaktor/CloseExtBracerReaktor.cs:112).  
0;Log;[AddBracerUntracked] Asignando Untracked LH bracer;UnityEngine.Debug:Log (object).  AddBracerUntracked/<Start>d__3:MoveNext () (at Assets/AddBracerUntracked.cs:39).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
0;Log;[AddBracerUntracked] Asignando Untracked RH bracer;UnityEngine.Debug:Log (object).  AddBracerUntracked/<Start>d__3:MoveNext () (at Assets/AddBracerUntracked.cs:30).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
0;Log; Number of scenes in build: 5;UnityEngine.Debug:Log (object).  AdditiveLoadManager:Start () (at Assets/AdditiveLoadManager.cs:40).  
0;Log; Currently loaded scenes: 5;UnityEngine.Debug:Log (object).  AdditiveLoadManager:Start () (at Assets/AdditiveLoadManager.cs:41).  
0;Log;[<b><color=#2ba198>@alreylz</color></b>] [CloseExtBracerReaktor][SUBS]1 Reaction Behaviours components found subscribing...;UnityEngine.Debug:Log (object).  alreylz.Debug:Log (string) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/Utils/Debug.cs:21).  CloseExtBracerReaktor:HookAllLocalBracerReactionComponents () (at Assets/Scripts/Input/Reaktor/CloseExtBracerReaktor.cs:128).  CloseExtBracerReaktor:Start () (at Assets/Scripts/Input/Reaktor/CloseExtBracerReaktor.cs:112).  
0;Log;[<b><color=#2ba198>@alreylz</color></b>] alreylz.InvokeId;UnityEngine.Debug:Log (object).  alreylz.Debug:Log (string) (at Assets/Plugins/utd/Assets/Scripts [alreylz]/Utils/Debug.cs:21).  BaseTutorialPhase:InitPhase () (at Assets/Scripts/TutorialSystem/Base/BaseTutorialPhase.cs:110).  BaseTutorialPhase:Start () (at Assets/Scripts/TutorialSystem/Base/BaseTutorialPhase.cs:115).  
